;Kode.Dagri;Kode.BPS;Urutan JSON;name;Kode.Geo;Nama.Provinsi;Nama.Kabupaten.Kota;IRBI.2017;IRBI.2018;IRBI.2019;IRBI.2020;IRBI.2021;IRBI.2022;Y_2017;Y_2018;Y_2019;Y_2020;Y_2021;Y_2022;korel
222;3376;3376;151;KOTA TEGAL;36500;Jawa Tengah;Kota Tegal;116,8;116,8;116,8;116,8;116,8;78,66;0;63,71;58,08;35,64;48,38;50,78;-0,17060203
223;3401;3401;152;KULON PROGO;40400;DI Yogyakarta;Kulon Progo;203,2;203,2;203,2;203,2;180,8;104,62;0;60,55;58,34;52,38;57,37;60,42;-0,301127871
224;3402;3402;153;BANTUL;40100;DI Yogyakarta;Bantul;187,2;187,2;187,2;187,2;157,3;121,7;0;57,35;57,61;56,6;57,53;56,2;-0,274191888
225;3403;3403;154;GUNUNG KIDUL;40300;DI Yogyakarta;Gunungkidul;157,6;157,6;157,6;157,6;142,09;76,51;0;53,68;40,6;41,89;47,01;46,17;-0,249555929
226;3404;3404;155;SLEMAN;40200;DI Yogyakarta;Sleman;99,46;90,17;83,72;83,72;78,96;82,45;0;49,03;47,23;46,84;50,39;50,23;-0,877977624
98;1572;1572;156;KOTA SUNGAI PENUH;106100;Jambi;Kota Sungai Penuh;124,4;124,4;124,4;124,4;116,44;89,4;0;60,2;60,9;61,3;63,1;61,3;-0,256960179
99;1601;1601;157;OGAN KOMERING ULU;110300;Sumatera Selatan;Ogan Komering Ulu;155,2;155,2;155,2;155,2;155,2;122,92;0;46,47;49,15;45,45;43,86;46,02;-0,194771994
100;1602;1602;158;OGAN KOMERING ILIR;110200;Sumatera Selatan;Ogan Komering Ilir;153,2;153,2;153,2;153,2;153,2;130,39;0;50,65;50,71;54,5;54,82;54,3;-0,228648284
101;1603;1603;159;MUARA ENIM;110400;Sumatera Selatan;Muara Enim;155,2;155,2;155,2;155,2;155,2;147,39;0;46,57;41,42;41,45;39,97;45,62;-0,270003741
102;1604;1604;160;LAHAT;110500;Sumatera Selatan;Lahat;109,07;109,07;109,07;109,07;116,55;133,17;0;53,96;50,44;49,6;48,15;51,93;0,271411318
103;1605;1605;161;MUSI RAWAS;110600;Sumatera Selatan;Musi Rawas;155,2;155,2;155,2;155,2;145,27;150,85;0;50,15;47,19;54,16;58,97;55,6;-0,429647559
104;1606;1606;162;MUSI BANYU ASIN;110100;Sumatera Selatan;Musi Banyuasin;132,4;132,4;132,4;132,4;125,53;99,96;0;45,18;46,34;46,83;47,41;48,8;-0,298793388
105;1607;1607;163;BANYU ASIN;110700;Sumatera Selatan;Banyuasin;136,95;136,95;136,07;141,43;137,81;112,13;0;48,84;43,43;43,43;48;50,42;-0,251630604
107;1609;1608;164;OGAN KOMERING ULU SELATAN;110900;Sumatera Selatan;Ogan Komering Ulu Selatan;130;130;130;130;120,26;73,23;0;44,51;51,93;51,54;58,01;55,9;-0,336177326
106;1608;1609;165;OGAN KOMERING ULU TIMUR;110800;Sumatera Selatan;Ogan Komering Ulu Timur;131,2;131,2;131,2;131,2;131,2;131,2;0;65,98;62,46;63,59;60,01;64,91;NA
108;1610;1610;166;OGAN ILIR;111000;Sumatera Selatan;Ogan Ilir;132,4;132,4;132,4;120,56;116,43;112,51;0;47,59;37,48;37,61;41,76;49,61;-0,481612462
109;1611;1611;167;EMPAT LAWANG;111100;Sumatera Selatan;Empat Lawang;158;158;158;158;153,07;157,2;0;41,73;39,62;44,81;42,17;45,76;-0,230359755
110;1612;1612;168;PENUKAL ABAB LEMATANG ILIR;111200;Sumatera Selatan;Penukal Abab Lematang Ilir;155,2;155,2;155,2;155,2;155,2;113,09;0;40,66;40,08;40,06;43,03;42,31;-0,230888985
111;1613;1613;169;MUSI RAWAS UTARA;111300;Sumatera Selatan;Musi Rawas Utara;155,2;155,2;155,2;155,2;154,15;115,68;0;42,94;39,36;45,67;42,62;41,81;-0,18615426
112;1671;1671;170;KOTA PALEMBANG;116000;Sumatera Selatan;Kota Palembang;131,6;131,6;131,6;131,6;131,6;131,6;0;54,65;46,45;42,32;41,62;46,67;NA
115;1674;1672;171;KOTA PRABUMULIH;116100;Sumatera Selatan;Kota Prabumulih;132,4;132,4;132,4;132,4;132,4;132,4;0;50,67;40,82;39,52;38,77;39,96;NA
113;1672;1673;172;KOTA PAGAR ALAM;116300;Sumatera Selatan;Kota Pagar Alam;126,4;126,4;126,4;126,4;126,4;126,4;0;53,07;47,73;53,11;53,95;56,7;NA
114;1673;1674;173;KOTA LUBUK LINGGAU;116200;Sumatera Selatan;Kota Lubuk Linggau;124,8;124,8;124,8;124,8;124,8;124,8;0;50,55;57,27;51,54;52,94;52,07;NA
116;1701;1701;174;BENGKULU SELATAN;260300;Bengkulu;Bengkulu Selatan;186,4;186,4;186,4;186,4;186,4;0;0;44,34;41,58;43,55;48,4;47,08;-0,253492421
117;1702;1702;175;REJANG LEBONG;260200;Bengkulu;Rejang Lebong;113,59;113,59;100,71;100,71;92,58;146;0;44,8;50,32;52,93;51,91;48,3;-0,134729253
118;1703;1703;176;BENGKULU UTARA;260100;Bengkulu;Bengkulu Utara;205,6;205,6;205,6;205,6;186,25;196,05;0;39,79;44,08;45,72;43,03;47,34;-0,307346173
119;1704;1704;177;KAUR;260700;Bengkulu;Kaur;203,2;203,2;203,2;203,2;196,86;149,15;0;39,73;39,57;40,14;43,09;46,83;-0,371016756
120;1705;1705;178;SELUMA;260800;Bengkulu;Seluma;191,2;191,2;191,2;191,2;165,74;144,12;0;39,23;37,56;37,63;43,29;40,33;-0,373122453
121;1706;1706;179;MUKOMUKO;260400;Bengkulu;Muko Muko;166,02;166,02;166,02;166,02;172,29;0;0;56,49;54,93;58,68;55,81;59,86;-0,247518683
122;1707;1707;180;LEBONG;260600;Bengkulu;Lebong;118;118;118;118;118;101,62;0;48,62;61,67;50,96;60,87;64,95;-0,344822772
123;1708;1708;181;KEPAHIANG;260500;Bengkulu;Kepahiang;138;138;138;138;138;69,63;0;44,7;50,44;46,76;45,94;47,87;-0,21742108
124;1709;1709;182;BENGKULU TENGAH;260900;Bengkulu;Bengkulu Tengah;173,2;173,2;173,2;173,2;167,8;0;0;37,37;37,15;39,51;38,83;39,05;-0,228462051
125;1771;1771;183;KOTA BENGKULU;266000;Bengkulu;Kota Bengkulu;148,12;137,68;137,68;137,68;147,5;159,55;0;47,46;51,78;51,34;50,34;48,62;-0,216096194
129;1804;1801;184;LAMPUNG BARAT;120400;Lampung;Lampung Barat;214;204,22;179,29;179,29;163,85;212,58;53,23;52,36;43,39;42,6;49,31;48,19;0,567724777
141;1901;1901;185;BANGKA;290100;Kepulauan Bangka Belitung;Bangka;168,4;168,4;168,4;168,4;168,4;168,4;0;18,27148438;20,76828519;28,39514979;29,775;31,41;NA
142;1902;1902;186;BELITUNG;290200;Kepulauan Bangka Belitung;Belitung;168,4;168,4;168,4;168,4;164,44;111,23;0;25,37918871;26,37647059;21,57635468;23,7883959;26,3;-0,288145306
145;1905;1903;187;BANGKA BARAT;290400;Kepulauan Bangka Belitung;Bangka Barat;180,4;180,4;180,4;180,4;180,4;180,4;0;17,050673;16,79066622;21,90548014;27,0913663;29,11;NA
144;1904;1904;188;BANGKA TENGAH;290300;Kepulauan Bangka Belitung;Bangka Tengah;144,4;144,4;144,4;144,4;144,4;144,4;0;32,45614035;39,19642857;36,86868687;30,32786885;27,6;NA
143;1903;1905;189;BANGKA SELATAN;290500;Kepulauan Bangka Belitung;Bangka Selatan;180,4;180,4;180,4;180,4;180,4;176,14;0;30,26498484;33,91758344;35,31471346;43,06233705;42,98;-0,369499179
146;1906;1906;190;BELITUNG TIMUR;290600;Kepulauan Bangka Belitung;Belitung Timur;168,4;168,4;168,4;168,4;168,4;168,4;0;27,89504717;20,33870968;25,44378698;30,30327869;21,97;NA
147;1971;1971;191;KOTA PANGKAL PINANG;296000;Kepulauan Bangka Belitung;Kota Pangkal Pinang;120,4;120,4;120,4;120,4;120,4;120,4;0;0;0;0;0;0;NA
149;2102;2101;192;KARIMUN;310200;Kepulauan Riau;Karimun;120,4;120,4;120,4;120,4;120,4;120,4;0;26,84;31,38;15,28;34,9;32,32;NA
148;2101;2102;193;BINTAN;310100;Kepulauan Riau;Bintan;132,4;132,4;132,4;132,4;132,4;132,4;0;30,96;45;29,65;34,61;32,34;NA
150;2103;2103;194;NATUNA;310300;Kepulauan Riau;Natuna;112,4;112,4;112,4;112,4;112,4;112,4;0;23,76;34,47;29,52;27,32;30,74;NA
151;2104;2104;195;LINGGA;310400;Kepulauan Riau;Lingga;108,4;108,4;108,4;108,4;108,4;90,92;0;34,13;28,08;32,2;32,99;26,35;-0,027517284
152;2105;2105;196;KEPULAUAN ANAMBAS;310500;Kepulauan Riau;Kepulauan Anambas;112,4;112,4;112,4;112,4;103,4;77,95;0;30,56;41,1;31,97;37,89;32,15;-0,187512092
153;2171;2171;197;KOTA BATAM;316000;Kepulauan Riau;Kota Batam;120,4;120,4;120,4;120,4;117,57;72,21;0;0;0;0;0;0;NA
154;2172;2172;198;KOTA TANJUNG PINANG;316100;Kepulauan Riau;Kota Tanjung Pinang;108,4;108,4;108,4;108,4;108,4;108,4;0;0;0;0;0;0;NA
155;3101;3101;199;KEPULAUAN SERIBU;10100;DKI Jakarta;Administrasi Kepulauan Seribu;64,8;64,8;64,8;56,66;49,46;0;0;0;0;0;0;0;NA
159;3174;3171;200;KOTA JAKARTA SELATAN;16300;DKI Jakarta;Kota Jakarta Selatan;64,75;58,62;52,52;52,18;49,89;0;0;0;0;0;0;0;NA
160;3175;3172;201;KOTA JAKARTA TIMUR;16400;DKI Jakarta;Kota Jakarta Timur;93,18;84,36;75,57;75,08;71,79;0;0;57,6;59,42;55,49;61,14;58,45;-0,390262748
156;3171;3173;202;KOTA JAKARTA PUSAT;16000;DKI Jakarta;Kota Jakarta Pusat;70,61;63,93;57,27;56,9;54,41;0;0;0;0;0;0;0;NA
158;3173;3174;203;KOTA JAKARTA BARAT;16200;DKI Jakarta;Kota Jakarta Barat;88,19;79,85;71,53;71,07;67,95;0;0;46,3;59,49;50,11;64,49;53,62;-0,376473974
157;3172;3175;204;KOTA JAKARTA UTARA;16100;DKI Jakarta;Kota Jakarta Utara;89,66;81,17;72,72;72,25;69,08;0;0;59,41;53,27;49,64;59,48;50,42;-0,29283165
161;3201;3201;205;BOGOR;20500;Jawa Barat;Bogor;152,4;136,88;136,88;136,88;125,31;96,08;0;56,39;55,99;53,68;49,66;53,55;-0,525069551
162;3202;3202;206;SUKABUMI;20600;Jawa Barat;Sukabumi;213,22;190,75;190,75;190,75;192,4;173,09;0;52,79;50,2;55,85;55,07;53,49;-0,817066517
163;3203;3203;207;CIANJUR;20700;Jawa Barat;Cianjur;226,48;207,13;207,13;215,08;197,08;161,95;0;58,13;54,43;54,72;53,88;53,33;-0,49776104
164;3204;3204;208;BANDUNG;20800;Jawa Barat;Bandung;174;174;174;174;161,89;108,69;0;57,01;61,13;55,27;61,46;60,84;-0,284460875
165;3205;3205;209;GARUT;21100;Jawa Barat;Garut;208,63;208,63;208,63;205,52;185;118,05;0;56,16;55,9;54,56;58,36;58,11;-0,30636821
166;3206;3206;210;TASIKMALAYA;21200;Jawa Barat;Tasikmalaya;224,8;203,01;203,01;203,01;186,51;145,18;0;58,49;52,93;60,92;53,77;53;-0,486128404
167;3207;3207;211;CIAMIS;21400;Jawa Barat;Ciamis;173,66;163,29;156,23;141,57;122,22;84,54;0;59,04;54,04;53,43;58,23;54,74;-0,482131608
168;3208;3208;212;KUNINGAN;21500;Jawa Barat;Kuningan;154;154;154;131,13;131,13;72,64;0;57,91;49,76;60,57;58,41;57,53;-0,372976433
169;3209;3209;213;CIREBON;21700;Jawa Barat;Cirebon;181,2;170,79;160,63;160,63;147,51;117,27;0;58,8;57,31;59,72;54,71;58,27;-0,535887815
170;3210;3210;214;MAJALENGKA;21600;Jawa Barat;Majalengka;166;166;166;143,43;124,74;86,03;0;61,63;60,21;57,77;54,79;56,08;-0,283802989
171;3211;3211;215;SUMEDANG;21000;Jawa Barat;Sumedang;162;162;162;142,15;124,39;106,11;0;55,67;53,63;54,96;49,12;52,62;-0,331061623
172;3212;3212;216;INDRAMAYU;21800;Jawa Barat;Indramayu;175,2;167,22;167,22;136,79;114,59;88,24;0;59,93;63,8;60,16;58,12;60,42;-0,440566253
173;3213;3213;217;SUBANG;21900;Jawa Barat;Subang;175,2;175,2;175,2;171,91;168,78;130,38;0;57,07;60,33;57,3;58,52;58,36;-0,251313913
174;3214;3214;218;PURWAKARTA;22000;Jawa Barat;Purwakarta;138;138;138;137,31;124,53;109,71;0;53,11;54,37;52,76;50,98;54,87;-0,309013674
175;3215;3215;219;KARAWANG;22100;Jawa Barat;Karawang;175,2;175,2;175,2;174,43;165,58;139,67;0;56,34;60,16;59,8;62,36;60,05;-0,284619154
176;3216;3216;220;BEKASI;22200;Jawa Barat;Bekasi;152,03;133,03;133,03;132,89;130,11;110,05;0;52,29;56,23;48,86;58,56;53,91;-0,740355433
177;3217;3217;221;BANDUNG BARAT;22300;Jawa Barat;Bandung Barat;119,97;115,01;110,22;110,22;108,18;110,54;0;53,11;54,48;56,39;52,97;52,62;-0,859379983
178;3218;3218;222;PANGANDARAN;22500;Jawa Barat;Pangandaran;192,11;168,52;145,44;145,44;129,21;102,04;0;53,63;58,47;52,87;50,58;49,37;-0,638914087
179;3271;3271;223;KOTA BOGOR;26100;Jawa Barat;Kota Bogor;82,35;75,75;75,75;75,75;65,38;46,59;0;200,18;48,85;45,7;47,69;54,02;0,024120022
180;3272;3272;224;KOTA SUKABUMI;26200;Jawa Barat;Kota Sukabumi;114,4;114,4;114,4;114,4;102,67;70,12;0;54,83;63,17;62,22;61,57;60,91;-0,268701188
181;3273;3273;225;KOTA BANDUNG;26000;Jawa Barat;Kota Bandung;122,32;122,32;122,32;122,32;111,32;83,75;0;45,25;60,23;63,28;69,21;72,21;-0,470362971
182;3274;3274;226;KOTA CIREBON;26300;Jawa Barat;Kota Cirebon;183,18;172,76;172,76;172,76;157,19;103,44;0;68,52;47,2;45,67;53,72;53,93;-0,362916531
183;3275;3275;227;KOTA BEKASI;26500;Jawa Barat;Kota Bekasi;131,6;131,6;131,6;131,6;123,18;129,06;0;90,43;58,76;56,3;48,21;41,15;0,056499633
184;3276;3276;228;KOTA DEPOK;26600;Jawa Barat;Kota Depok;89,63;89,63;89,63;89,63;82,56;62,47;0;56,68;54,72;61,06;53,83;49,57;-0,123214995
185;3277;3277;229;KOTA CIMAHI;26700;Jawa Barat;Kota Cimahi;120,4;120,4;120,4;105,41;91,71;59,38;0;31,51;57,32;56,45;57,78;56,73;-0,501206441
186;3278;3278;230;KOTA TASIKMALAYA;26800;Jawa Barat;Kota Tasikmalaya;119,2;119,2;119,2;119,2;117,37;108,44;0;51,55;51,22;48,02;57,52;55,35;-0,314653429
187;3279;3279;231;KOTA BANJAR;26900;Jawa Barat;Kota Banjar;152,8;152,8;152,8;152,8;152,8;126,95;0;57,02;56,86;53,09;62,24;52,31;-0,113544509
188;3301;3301;232;CILACAP;30100;Jawa Tengah;Cilacap;157,92;138,61;124,2;112,75;112,75;82,67;0;63,97;63,55;67,49;63,9;63,07;-0,68922114
189;3302;3302;233;BANYUMAS;30200;Jawa Tengah;Banyumas;207,2;207,2;207,2;193,71;164,25;84,03;0;54,85;52,09;55,49;55,43;54,16;-0,306430575
190;3303;3303;234;PURBALINGGA;30300;Jawa Tengah;Purbalingga;159,2;159,2;159,2;159,2;148,12;120,33;0;63,41;54,37;56,83;53,65;56,57;-0,230084886
191;3304;3304;235;BANJARNEGARA;30400;Jawa Tengah;Banjarnegara;150;150;150;127,36;127,36;61,54;0;58,02;58,83;52,45;56,39;57,62;-0,313012286
192;3305;3305;236;KEBUMEN;30500;Jawa Tengah;Kebumen;151,08;140,31;131,45;114,67;114,67;72,59;0;57,42;56,09;50,41;52,65;56,4;-0,526766416
193;3306;3306;237;PURWOREJO;30600;Jawa Tengah;Purworejo;215,2;215,2;215,2;190,01;163,63;100,08;0;53,11;53,37;54,83;53,49;55,44;-0,373057955
194;3307;3307;238;WONOSOBO;30700;Jawa Tengah;Wonosobo;135,2;122,94;122,94;122,94;102,83;51,89;0;49,81;50,55;52,7;50,89;50,69;-0,405908533
195;3308;3308;239;MAGELANG;30800;Jawa Tengah;Magelang;90,82;90,82;81,07;71,16;71,16;48,69;0;55,68;53,95;48,32;52,02;53,07;-0,429689949
196;3309;3309;240;BOYOLALI;30900;Jawa Tengah;Boyolali;159,2;159,2;159,2;130,32;130,32;62,95;0;56,05;57,74;47,2;56,17;58,64;-0,362541007
197;3310;3310;241;KLATEN;31000;Jawa Tengah;Klaten;123,2;123,2;123,2;99,24;99,24;42,38;0;57,93;57,74;53,24;57,66;56,61;-0,318000883
198;3311;3311;242;SUKOHARJO;31100;Jawa Tengah;Sukoharjo;93,2;93,2;93,2;93,2;93,2;53,51;0;64,83;69,19;68,71;65,74;64,03;-0,154975319
199;3312;3312;243;WONOGIRI;31200;Jawa Tengah;Wonogiri;145,6;145,6;145,6;124,77;124,77;71,91;0;54,92;54,09;55,7;59,03;56,36;-0,353553557
200;3313;3313;244;KARANGANYAR;31300;Jawa Tengah;Karanganyar;130,4;130,4;130,4;108,03;108,03;52,96;0;62,03;61,76;60,02;59,86;62,02;-0,335832549
201;3314;3314;245;SRAGEN;31400;Jawa Tengah;Sragen;142;142;142;142;133,75;108,51;0;61,15;68,66;65,57;66,28;60,39;-0,185193579
202;3315;3315;246;GROBOGAN;31500;Jawa Tengah;Grobogan;162;162;162;154,66;131,66;64,77;0;59,24;56,72;61,1;60,37;57,58;-0,268243222
203;3316;3316;247;BLORA;31600;Jawa Tengah;Blora;150;150;150;135,33;123,19;92,21;0;58,6;53,09;51,21;48,9;50,02;-0,250135731
204;3317;3317;248;REMBANG;31700;Jawa Tengah;Rembang;171,6;171,6;171,6;151,12;131,73;85,61;0;56,75;44,04;40,31;52,95;52,59;-0,401429598
205;3318;3318;249;PATI;31800;Jawa Tengah;Pati;174;174;174;171,1;171,1;152,54;0;60,23;59,54;58,71;55,37;55,56;-0,208864778
206;3319;3319;250;KUDUS;31900;Jawa Tengah;Kudus;131,6;131,6;131,6;130,59;119,71;64,99;0;61,46;65,79;55,44;56,91;59,07;-0,216698989
207;3320;3320;251;JEPARA;32000;Jawa Tengah;Jepara;163,2;163,2;163,2;148,77;135,11;92,32;0;52,02;53,42;50,11;48,19;50,26;-0,289308937
208;3321;3321;252;DEMAK;32100;Jawa Tengah;Demak;127,42;118,21;118,21;105,77;105,21;100,77;0;61,16;62,47;61,76;61,93;59,75;-0,694917671
209;3322;3322;253;SEMARANG;32200;Jawa Tengah;Semarang;143,2;143,2;143,2;118,89;118,89;61,86;0;57,44;54,56;58,08;52,62;53,03;-0,289051629
256;3529;3529;254;SUMENEP;52800;Jawa Timur;Sumenep;204,8;204,8;196,36;169,34;155,93;124,14;49,63;56,13;48,45;53,56;55,08;54,98;-0,483378716
257;3571;3571;255;KOTA KEDIRI;56300;Jawa Timur;Kota Kediri;140,8;140,8;125,36;114,11;100,84;64,31;46,38;64,72;50,38;60,99;54,95;55,52;-0,049983742
258;3572;3572;256;KOTA BLITAR;56500;Jawa Timur;Kota Blitar;132;132;115,2;106,73;108,28;114,33;46,35;69,89;66,74;68,38;65,46;71,63;-0,505861924
259;3573;3573;257;KOTA MALANG;56100;Jawa Timur;Kota Malang;113,6;113,6;104,75;98,08;88,29;61,16;66,4;56,27;68,88;67,43;63,14;65,72;-0,221502288
260;3574;3574;258;KOTA PROBOLINGGO;56700;Jawa Timur;Kota Probolinggo;148,4;148,4;132,86;117,41;108,3;84,04;56,24;48,41;51,1;52,03;58,3;61,63;-0,745270441
261;3575;3575;259;KOTA PASURUAN;56600;Jawa Timur;Kota Pasuruan;158,4;158,4;137,24;129,28;116,95;86,04;57,88;64,92;52,57;61,35;53,45;55,42;0,496720591
262;3576;3576;260;KOTA MOJOKERTO;56400;Jawa Timur;Kota Mojokerto;142,8;142,8;142,8;132,92;135,88;142,8;54,89;63,43;50,87;60,85;58,53;58,23;-0,357812068
263;3577;3577;261;KOTA MADIUN;56200;Jawa Timur;Kota Madiun;136;136;126,95;141,7;130,84;98,23;52,84;61,61;63,42;65,55;60,58;53,29;0,558240085
264;3578;3578;262;KOTA SURABAYA;56000;Jawa Timur;Kota Surabaya;166,8;166,8;159,87;159,87;150,35;124,81;52,19;52,57;55,65;59,7;56,64;56,2;-0,35613036
265;3579;3579;263;KOTA BATU;56800;Jawa Timur;Kota Batu;134,4;134,4;117,32;107,7;98,56;69,88;58,85;65,61;63,53;66,5;69,67;61,35;-0,115969967
266;3601;3601;264;PANDEGLANG;280100;Banten;Pandeglang;215,2;215,2;215,2;177,46;177,46;92,18;0;48,2;49,91;54,47;50,73;56,79;-0,458480538
267;3602;3602;265;LEBAK;280200;Banten;Lebak;215,2;215,2;215,2;182,04;182,04;123,6;0;46,7;44,5;48,72;50,42;52,65;-0,47705186
268;3603;3603;266;TANGERANG;280300;Banten;Tangerang;185,63;185,63;170,15;146,93;146,93;91,98;0;47,2;50,37;51,8;50,63;48,37;-0,433056949
269;3604;3604;267;SERANG;280400;Banten;Serang;203,2;203,2;203,2;203,2;176,14;102,92;0;52,8;47,57;46,8;48,63;50,52;-0,283814743
270;3671;3671;268;KOTA TANGERANG;286100;Banten;Kota Tangerang;136;136;136;136;132,8;79,46;0;51,2;63,2;58,59;52,98;57,38;-0,220429454
271;3672;3672;269;KOTA CILEGON;286000;Banten;Kota Cilegon;182,4;164,32;147,21;128,15;121,23;103,72;0;48,1;55,62;51,32;52,55;52,68;-0,719045558
272;3673;3673;270;KOTA SERANG;286200;Banten;Kota Serang;184,8;168,56;168,56;168,56;168,56;127,38;0;58,6;58,29;52,93;57,45;51,78;-0,439568446
273;3674;3674;271;KOTA TANGERANG SELATAN;286300;Banten;Kota Tangerang Selatan;102,4;102,4;102,4;96,61;87,44;62,18;0;50;49,98;20,8;0;0;0,57042591
274;5101;5101;272;JEMBRANA;220200;Bali;Jembrana;179,2;179,2;168,18;160,41;152,62;134,94;0;59,1;62,7;52,41;53,14;55,65;-0,402861488
275;5102;5102;273;TABANAN;220300;Bali;Tabanan;174,4;171,65;160,22;153,27;153,27;121,93;0;58,5;59,67;56,53;57,13;58,29;-0,477826626
276;5103;5103;274;BADUNG;220400;Bali;Badung;124,09;115,52;106,93;101,81;101,81;106,75;0;60,1;66,04;61,33;60,86;64,9;-0,82127983
277;5104;5104;275;GIANYAR;220500;Bali;Gianyar;140,8;140,8;136,09;129,79;129,79;132,38;0;61,9;58,08;60,45;60,28;64,99;-0,562853266
278;5105;5105;276;KLUNGKUNG;220600;Bali;Klungkung;181,6;163,39;145,92;133,42;124,22;120,29;0;58,5;69,44;68,38;62,48;61,6;-0,761652206
279;5106;5106;277;BANGLI;220700;Bali;Bangli;152,8;152,8;144,18;139,46;133,69;116,88;0;50,4;51,78;49,78;50,6;53,51;-0,502320914
280;5107;5107;278;KARANG ASEM;220800;Bali;Karangasem;184;159,06;137,94;137,94;123,15;103,27;0;63,9;59,34;58,76;59,86;61,02;-0,731842383
281;5108;5108;279;BULELENG;220100;Bali;Buleleng;121,74;114,66;107,35;102,05;92,45;91,81;0;59,9;57,14;55,66;58,8;56,04;-0,659885124
282;5171;5171;280;KOTA DENPASAR;226000;Bali;Kota Denpasar;111,16;110,08;107,98;106,7;106,7;98,98;0;60,8;74,53;75,18;75,54;74,77;-0,559506086
283;5201;5201;281;LOMBOK BARAT;230100;Nusa Tenggara Barat;Lombok Barat;205,2;181,2;161,83;161,83;145,84;91,94;0;56,66;47,96;48,6;49,6;50,25;-0,55865627
284;5202;5202;282;LOMBOK TENGAH;230200;Nusa Tenggara Barat;Lombok Tengah;168,28;166,12;157,08;157,08;146,99;110,39;0;51,88;49,33;43,84;49,78;53,35;-0,463611686
285;5203;5203;283;LOMBOK TIMUR;230300;Nusa Tenggara Barat;Lombok Timur;172,76;157,06;142,75;142,75;137,88;102,02;0;56,89;55,59;50,6;55,39;56,65;-0,639325677
286;5204;5204;284;SUMBAWA;230400;Nusa Tenggara Barat;Sumbawa;150;150;150;150;150;0;0;51,78;47,68;51,62;51,48;56,18;-0,300343339
287;5205;5205;285;DOMPU;230500;Nusa Tenggara Barat;Dompu;123,12;111,36;111,36;111,36;107,21;113,55;0;53,76;49,1;46,31;50,63;51,98;-0,912127168
288;5206;5206;286;BIMA;230600;Nusa Tenggara Barat;Bima;139,36;137,43;129,95;129,95;129,72;140,44;0;52,01;45,64;45,65;48,91;51,97;-0,352066472
289;5207;5207;287;SUMBAWA BARAT;230700;Nusa Tenggara Barat;Sumbawa Barat;152,4;152,4;142,3;142,3;128,53;0;0;50,87;52,74;50,76;53,37;52,01;-0,276526976
290;5208;5208;288;LOMBOK UTARA;230800;Nusa Tenggara Barat;Lombok Utara;139;120,62;106,91;106,91;94,5;67,13;0;50,37;59,5;56,31;56,7;58,57;-0,725487745
291;5271;5271;289;KOTA MATARAM;236000;Nusa Tenggara Barat;Kota Mataram;96,68;96,68;88,95;88,95;90,03;0;0;64,16;63,5;68,69;63,47;65,03;-0,258268761
292;5272;5272;290;KOTA BIMA;236100;Nusa Tenggara Barat;Kota Bima;104,03;94,91;89,37;89,37;92,61;93,9;0;61,06;46,52;48,64;49,92;47,91;-0,807641866
304;5312;5301;291;SUMBA BARAT;241300;Nusa Tenggara Timur;Sumba Barat;128,4;128,4;128,4;128,4;128,4;119,01;0;41,4;32,6;30,8;33,9;35,3;-0,2105211
303;5311;5302;292;SUMBA TIMUR;241200;Nusa Tenggara Timur;Sumba Timur;145,2;145,2;145,2;145,2;145,2;127,99;0;33,1;41,3;33;32,7;34,9;-0,191694775
293;5301;5303;293;KUPANG;240100;Nusa Tenggara Timur;Kupang;185,2;168,48;168,48;168,48;173,5;0;0;38,3;32,8;35,6;33,2;38,6;-0,376508876
294;5302;5304;294;TIMOR TENGAH SELATAN;240300;Nusa Tenggara Timur;Timor Tengah Selatan;167,2;167,2;167,2;167,2;155,57;0;0;52,9;42,4;39,7;46,2;51,3;-0,329752434
295;5303;5305;295;TIMOR TENGAH UTARA;240400;Nusa Tenggara Timur;Timor Tengah Utara;132,4;132,4;132,4;132,4;132,4;0;0;46,9;44,9;35,3;42,9;36,4;-0,056067666
296;5304;5306;296;BELU;240500;Nusa Tenggara Timur;Belu;147,3;147,3;147,3;147,3;157,47;0;0;41,2;35,8;25,2;42,4;43,1;-0,318644019
297;5305;5307;297;ALOR;240600;Nusa Tenggara Timur;Alor;183,2;167,47;149,79;149,79;140,31;110,01;0;20,9;31,3;31,2;33,7;30,8;-0,761358922
305;5313;5308;298;LEMBATA;241400;Nusa Tenggara Timur;Lembata;149,6;149,6;149,6;149,6;149,6;101,83;0;35,6;26,2;30,8;35;44,6;-0,508239754
298;5306;5309;299;FLORES TIMUR;240700;Nusa Tenggara Timur;Flores Timur;152,8;152,8;152,8;152,8;152,8;0;0;34,4;32,4;33,4;26,1;22,7;0,080392875
299;5307;5310;300;SIKKA;240800;Nusa Tenggara Timur;Sikka;141,72;137,78;137,78;137,78;137,78;134,37;0;35,1;34,3;41,4;41,3;35;-0,747593805
300;5308;5311;301;ENDE;240900;Nusa Tenggara Timur;Ende;147,84;147,84;147,84;147,84;138,78;119,64;0;35,2;42,5;42;59;45,3;-0,3722579
301;5309;5312;302;NGADA;241000;Nusa Tenggara Timur;Ngada;116,83;115,7;115,7;115,7;128,63;0;0;50,3;45,7;51,5;48;41,6;-0,036772703
302;5310;5313;303;MANGGARAI;241100;Nusa Tenggara Timur;Manggarai;138,75;138,75;138,75;138,75;149,56;0;0;45,5;46,9;49,8;48,8;46,8;-0,159357335
