;Kode.Dagri;Kode.BPS;Urutan JSON;name;Kode.Geo;Nama.Provinsi;Nama.Kabupaten.Kota;IRBI.2017;IRBI.2018;IRBI.2019;IRBI.2020;IRBI.2021;IRBI.2022;Y_2017;Y_2018;Y_2019;Y_2020;Y_2021;Y_2022;korel
55;1277;1277;91;KOTA PADANG SIDEMPUAN;76600;Sumatera Utara;Kota Padang Sidempuan;128;128;128;128;128;128;53,49;51,57;50,29;55,51;52,33;55,1;NA
56;1278;1278;92;KOTA GUNUNGSITOLI;76700;Sumatera Utara;Kota Gunungsitoli;215,6;215,6;215,6;215,6;215,6;215,6;52,32;52,26;51,7;56,84;49,06;51,59;NA
65;1309;1301;93;KEPULAUAN MENTAWAI;81000;Sumatera Barat;Kepulauan Mentawai;197,2;197,2;197,2;197,2;197,2;0;24,01;26,35;25,17;24,71;24,97;22,98;0,741119848
57;1301;1302;94;PESISIR SELATAN;80600;Sumatera Barat;Pesisir Selatan;189,6;189,6;189,6;189,6;169,42;114,55;55,79;50,27;51,06;48,05;48,01;56,17;-0,502185938
58;1302;1303;95;SOLOK;80400;Sumatera Barat;Solok;137,2;137,2;137,2;137,2;137,2;0;56,77;50,61;49,38;46,44;52,63;54,5;-0,367341719
59;1303;1304;96;SIJUNJUNG;80800;Sumatera Barat;Sijunjung;107,2;107,2;107,2;107,2;107,2;0;42,94;39,89;34,17;39,1;36,67;38,45;0,014296627
60;1304;1305;97;TANAH DATAR;80700;Sumatera Barat;Tanah Datar;125,2;125,2;125,2;125,2;125,2;0;56,08;52,67;56,12;53,35;56,39;54,76;0,041835333
61;1305;1306;98;PADANG PARIAMAN;80500;Sumatera Barat;Padang Pariaman;184,11;184,11;180,72;167,21;156,73;0;52,57;46,05;48,04;46,98;45,37;49,58;-0,18744374
62;1306;1307;99;AGAM;80100;Sumatera Barat;Agam;209,2;209,2;209,2;209,2;193,52;0;53,75;51,67;49,32;52,36;51,4;49,54;0,526923071
63;1307;1308;100;LIMA PULUH KOTA;80300;Sumatera Barat;Lima Puluh Kota;119,2;119,2;119,2;119,2;119,2;64,33;48,03;43,07;41,49;43,6;43,99;46,46;-0,414815586
